,新設住宅着工：利用関係別戸数，床面積　,,,,,,,,,,,,,,,,,,,,,,新設住宅着工：利用関係別戸数，床面積　,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,（単位：戸，千㎡，％）,,,,【参考：修正前データ】,,,,,,,,,,,,,,,,（単位：戸，千㎡，％）,,,,
,総計,,,,,,,,,,,,,,,,,,,季節調整値,,,総計,,,,,,,,,,,,,,,,,,,季節調整値
,,,,,持家,,,,貸家,,給与住宅,,分譲住宅,,,,,,,年率,,,,,,,持家,,,,貸家,,給与住宅,,分譲住宅,,,,,,,年率
,　,,,,,,住宅金融機構,,,,,,,,マンション,,,一戸建て,,,,,　,,,,,,住宅金融機構,,,,,,,,マンション,,,一戸建て,,
,　,,床面積,,　,,,,　,,　,,　,,,,分譲に占,,,,,,　,,床面積,,　,,,,　,,　,,　,,,,分譲に占,,,
,戸数,前年比,,前年比,戸数,前年比,戸数,前年比,戸数,前年比,戸数,前年比,戸数,前年比,,前年比,める割合,,前年比,（千戸）,,,戸数,前年比,,前年比,戸数,前年比,戸数,前年比,戸数,前年比,戸数,前年比,戸数,前年比,,前年比,める割合,,前年比,（千戸）
8.0,69585.0,,,,34371.0,,,,28953.0,,4094.0,,2167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,72798.0,,4240.0,,30455.0,,,,32845.0,,5070.0,,4428.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,84160.0,,4883.0,,38535.0,,,,36398.0,,5802.0,,3425.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,83541.0,,4905.0,,40027.0,,,,34161.0,,5185.0,,4168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,69504.0,,4038.0,,30998.0,,,,28698.0,,5080.0,,4728.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S４１年 １月,54260.0,-0.9347841963046903,3141.0,,21444.0,21.744067219257417,,,24899.0,-14.268498433357436,4087.0,-9.958140559594625,3830.0,7.1029082774049215,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,62383.0,0.4686594086194589,3683.0,,26142.0,17.74614899558597,,,29451.0,-2.522093138715121,3954.0,-21.78041543026707,2836.0,-38.64128083080918,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,63939.0,4.465248505048521,4036.0,,31438.0,19.690855097845116,,,26699.0,-5.171372757947083,3055.0,-30.568181818181813,2747.0,15.178197064989504,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,69342.0,-4.829744307654309,4534.0,,33851.0,5.837293646823412,,,28216.0,-12.822097262559467,3989.0,-16.408214585079634,3286.0,-12.115538914148175,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,67754.0,5.2244137288398775,4383.0,,33842.0,12.015093340394543,,,25785.0,-6.3521464371322764,4392.0,7.410124724871608,3735.0,46.1839530332681,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,79751.0,8.915231552927352,5121.0,,43464.0,27.94818957904033,,,29465.0,-6.991792929292927,3418.0,-27.18363868768641,3404.0,18.235498436957286,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,84633.0,13.656263429308126,5455.0,,47515.0,16.850699653247418,,,28397.0,1.6866003007949502,4474.0,39.1601866251944,4247.0,59.66165413533835,,,,,,,,,,,,,,,,,,,,,,,,,,,,
