名目季節調整系列,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,(単位:10億円),,,,,,
"Nominal, Seasonally Adjusted Series",,,,,,,,,,,,,,,<cf>,,,,,,,,,,,(Billion Yen),,,,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,純受取,受取,支払,,,,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,Net,Receipt,Payment,,,,,,,,,,,,,,,
10-12.,"524,414.2 ","287,913.3 ","282,598.9 ","238,230.9 ","22,893.3 ","78,430.7 ",312.2 ,"92,770.1 ","35,100.4 ",-156.8 ,"7,151.0 ","59,593.2 ","52,442.2 ",,"7,208.2 ","10,583.7 ","3,375.5 ","531,622.4 ",,"517,263.2 ","389,549.5 ","127,713.7 ",,"136,424.5 ",,"524,258.9 ",,,,,,
2003/ 1- 3.,"521,379.5 ","288,501.5 ","283,031.6 ","238,518.1 ","22,769.0 ","78,088.4 ",-342.6 ,"92,642.3 ","33,995.4 ",-67.7 ,"5,793.3 ","58,667.6 ","52,874.3 ",,"7,801.4 ","10,985.5 ","3,184.1 ","529,180.9 ",,"515,586.2 ","389,016.2 ","126,570.0 ",,"134,852.8 ",,"521,789.8 ",,,,,,
4- 6.,"524,512.7 ","286,809.2 ","281,151.4 ","236,448.9 ","22,839.8 ","78,712.7 ",-798.8 ,"94,409.0 ","33,996.7 ",71.2 ,"8,473.0 ","58,913.0 ","50,440.1 ",,"8,031.9 ","10,999.9 ","2,968.0 ","532,544.6 ",,"516,039.8 ","387,562.9 ","128,476.9 ",,"135,549.2 ",,"525,240.4 ",,,,,,
7- 9.,"524,383.2 ","286,285.8 ","280,508.6 ","235,610.0 ","23,402.5 ","77,186.4 ","1,683.3 ","93,875.5 ","33,107.2 ",-86.0 ,"8,928.4 ","60,544.8 ","51,616.4 ",,"9,531.1 ","12,391.6 ","2,860.5 ","533,914.3 ",,"515,454.7 ","388,558.0 ","126,896.7 ",,"133,696.1 ",,"522,785.8 ",,,,,,
10-12.,"526,399.8 ","289,336.6 ","283,521.2 ","238,510.3 ","23,006.8 ","79,970.6 ",-879.1 ,"92,644.3 ","32,322.3 ",-315.8 ,"10,314.2 ","61,940.2 ","51,626.0 ",,"8,474.1 ","11,201.9 ","2,727.8 ","534,873.9 ",,"516,085.6 ","391,434.8 ","124,650.8 ",,"135,299.7 ",,"527,594.7 ",,,,,,
2004/ 1- 3.,"529,368.0 ","289,356.2 ","283,589.6 ","238,277.2 ","23,334.7 ","79,463.7 ","2,765.7 ","93,253.2 ","30,910.7 ",-326.4 ,"10,610.4 ","64,865.6 ","54,255.2 ",,"9,488.0 ","12,196.9 ","2,708.9 ","538,856.1 ",,"518,757.7 ","394,920.2 ","123,837.4 ",,"133,709.1 ",,"526,928.8 ",,,,,,
4- 6.,"527,650.3 ","289,032.4 ","283,338.1 ","237,821.2 ","23,767.1 ","79,091.3 ",773.9 ,"93,501.3 ","30,708.5 ",97.4 ,"10,678.4 ","67,343.3 ","56,664.9 ",,"10,201.8 ","13,111.8 ","2,910.0 ","537,852.1 ",,"516,971.9 ","392,664.7 ","124,307.2 ",,"133,567.0 ",,"526,779.1 ",,,,,,
7- 9.,"530,478.0 ","290,771.2 ","285,112.1 ","239,404.3 ","23,866.7 ","79,950.4 ","1,867.3 ","93,854.7 ","30,198.6 ",88.9 ,"9,880.3 ","68,715.4 ","58,835.2 ",,"10,478.2 ","13,615.1 ","3,136.8 ","540,956.2 ",,"520,597.8 ","396,455.6 ","124,142.2 ",,"134,015.7 ",,"528,521.8 ",,,,,,
10-12.,"529,920.2 ","289,434.9 ","283,760.2 ","237,835.0 ","23,906.0 ","81,412.0 ","1,510.3 ","94,387.0 ","29,920.8 ",186.8 ,"9,162.4 ","69,573.2 ","60,410.8 ",,"10,923.1 ","14,238.0 ","3,314.8 ","540,843.4 ",,"520,757.8 ","396,263.1 ","124,494.7 ",,"135,238.8 ",,"528,223.1 ",,,,,,
2005/ 1- 3.,"529,915.8 ","290,126.0 ","284,396.5 ","238,261.8 ","23,518.2 ","83,434.1 ","1,334.2 ","94,139.6 ","29,289.6 ",160.8 ,"7,913.2 ","68,319.5 ","60,406.3 ",,"10,423.9 ","14,358.2 ","3,934.3 ","540,339.8 ",,"522,002.7 ","398,412.6 ","123,590.0 ",,"136,242.0 ",,"528,420.8 ",,,,,,
